Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C3, C4, C5, C6, C7, C8, C9",C_Disc_D4.3mm_W1.9mm_P5.00mm,22,0.1,
"C100, C58",C_Polarized_P5.00mm,2,C_Polarized_Small,
C104,C_Polarized_P5.00mm,1,1uF,
C105,C_Polarized_P5.00mm,1,47uF,
"C106, C107",C_Polarized_P10.00mm,2,100uF,
"C46, C47, C49, C50, C51",C_Disc_D4.3mm_W1.9mm_P5.00mm,5,C_Small,
C64,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,?,
"D1, D10, D3, D4, D5, D6, D7, D8, D9",Diodo_9.38mm,9,D_Small,
D12,Diodo_9.38mm,1,5V1,
D13,PinHeader_1x02_P2.54mm_Vertical,1,LED,
"H1, H2, H3",MountingHole_3.5mm_Pad,3,MountingHole_Pad,
"H4, H6, H7, H8",MountingHole_2.7mm_Pad,4,MountingHole_Pad,
H5,MountingHole_2.7mm,1,MountingHole_Pad,
"J1, J10, J14, J16, J3, J4, J5, J7, J9",Jumper_Open,9,SolderJumper_2_Open,
J100,DSUB-9_Male_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm,1,Joystick,
"J11, J12, J6, J8",Jumper_Bridged,4,SolderJumper_2_Open,
"J13, J15",Jumper_Bridged,2,~,
J17,Jumper_Open,1,SolderJumper_2_Open_Small,
J2,Jumper_Open,1,TK2000:Jumper_Open,
L1,L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC,1,47uH,
LS1,Connector_AMP,1,AMP,
P1,DSUB-9_Male_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm,1,POWER,
P2,PinSocket_2x25_P2.54mm_Horizontal,1,Conector de Expansão,
P3,PinHeader_2x08_P2.54mm_Horizontal,1,P3,
P5,Connector_P5,1,Conector_P5,
"Q1, Q3, Q5, Q6, Q7",TO-92_Wide,5,BC548,
Q2,TO-92_Wide_Invert,1,BF494B,
"Q8, Q9",TO-126-3_Vertical,2,BD140,
"R1, R10, R12, R16, R2, R21, R22, R26, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R43, R45, R5, R61, R65, R66",Resistor_P12.7mm_Horizontal,25,1k,
"R169, R171",Resistor_P5.08mm_Vertical,2,3k3,
R17,Resistor_P12.7mm_Horizontal,1,2k,
"R18, R19, R25, R4, R9",Resistor_P12.7mm_Horizontal,5,12k,
"R23, R46, R47",Resistor_P9.8mm_Horizontal,3,1k,
R24,Resistor_P12.7mm_Horizontal,1,100,
"R27, R8",Resistor_P12.7mm_Horizontal,2,1k5,
R3,Resistor_P12.7mm_Horizontal,1,1M,
"R40, R41, R42",Resistor_P12.7mm_Horizontal,3,47,
R44,Resistor_P12.7mm_Horizontal,1,220,
R60,Resistor_P12.7mm_Horizontal,1,560,
"R67, R72, R73, R74",Resistor_P12.7mm_Horizontal,4,?,
"R68, R70",Resistor_P12.7mm_Horizontal,2,470,
"R69, R71",Resistor_P12.7mm_Horizontal,2,5k6,
T2,"RCA_AV-8,4-5A",1,MONITOR,
T3,J2_Mono_Panel,1,EAR,
T4,J2_Mono_Panel,1,MIC,
T5,J2_Mono_Panel,1,B - Remote,
T6,J2_Mono_Panel,1,A - Remote,
T7,"RCA_AV-8,4-5A",1,AUDIO,
"TP1, TP10, TP3, TP6, TP7, TP8, TP9",Pin_D1.0mm_L10.0mm,7,TestPoint_Small,
TP4,Pin_D1.0mm_L10.0mm,1,~{CAS},
"U10, U11",DIP-14_W7.62mm,2,74LS02,
U12,DIP-14_W7.62mm,1,74LS11,
U13,DIP-14_W7.62mm,1,74LS86,
"U14, U15, U20, U26",DIP-16_W7.62mm,4,74LS161,
"U16, U2",DIP-16_W7.62mm,2,74LS194,
"U17, U28, U35",DIP-20_W7.62mm,3,74LS244,
U18,DIP-14_W7.62mm,1,74LS51,
U19,DIP-14_W7.62mm,1,74LS08,
U21,DIP-16_W7.62mm,1,74LS283,
"U22, U23, U27, U3, U34",DIP-16_W7.62mm,5,74LS153,
"U24, U8",DIP-20_W7.62mm,2,74LS273,
"U25, U5",DIP-14_W7.62mm,2,74LS04,
U29,DIP-40_W15.24mm,1,6502,
U30,DIP-20_W7.62mm,1,74LS245,
U31,DIP-8_W7.62mm,1,LM741,
U33,DIP-14_W7.62mm,1,74LS32,
U36,DIP-16_W7.62mm,1,74LS259,
"U37, U9",DIP-14_W7.62mm,2,74LS74,
"U38, U50",DIP-16_W7.62mm,2,74LS138,
"U39, U40",DIP-28_W15.24mm,2,2764,
U4,DIP-16_W7.62mm,1,74LS175,
U41,DIP-20_W7.62mm,1,PAL14L4,
U42,DIP-16_W7.62mm,1,4116_U42,
U43,DIP-16_W7.62mm,1,4116_U43,
"U44, U45, U46, U47",DIP-16_W7.62mm,4,4116_U47,
"U48, U49",DIP-16_W7.62mm,2,4116,
U51,DIP-16_W7.62mm,1,74LS174,
U52,DIP-16_W7.62mm,1,74LS157,
U6,DIP-16_W7.62mm,1,74LS253,
U7,DIP-16_W7.62mm,1,74LS166,
Y1,Crystal_HC52-U_Horizontal,1,Crystal,
